date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:52:25	63/63	---M--	200	added ('OK')	text/plain	etag:%2216-1676394825;;;%22	https://wbify.com/robots.txt		(from )
22:52:26	103858/103858	---M-Z	200	added ('OK')	text/html	etag:%2215-1676393185;gz%22	https://wbify.com/	C:/My%20Web%20Sites/wp1/wbify.com/index.html	(from )
22:52:26	94889/94889	---M-Z	200	added ('OK')	text/css	etag:%22172a9-638438bc-6daab443c0908566;gz%22	https://wbify.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/wp1/wbify.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://wbify.com/)
22:52:28	217/217	---M--	200	added ('OK')	text/css	etag:%22d9-638438bc-9da68e5e15def7c0;;;%22	https://wbify.com/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/wp1/wbify.com/wp-includes/css/classic-themes.min68b3.css	(from https://wbify.com/)
22:52:28	6051/6051	---M-Z	200	added ('OK')	text/css	etag:%2217a3-63844ad7-699bf25728b98bad;gz%22	https://wbify.com/wp-content/themes/hello-elementor/style.min.css?ver=2.6.1	C:/My%20Web%20Sites/wp1/wbify.com/wp-content/themes/hello-elementor/style.minc141.css	(from https://wbify.com/)
22:52:30	15672/15672	---M-Z	200	added ('OK')	text/css	etag:%223d38-63844ad7-5ab669e6e49c590d;gz%22	https://wbify.com/wp-content/themes/hello-elementor/theme.min.css?ver=2.6.1	C:/My%20Web%20Sites/wp1/wbify.com/wp-content/themes/hello-elementor/theme.minc141.css	(from https://wbify.com/)
22:52:30	85698/85698	---M-Z	200	added ('OK')	text/css	etag:%2214ec2-63eb0f15-a6551969c1a66306;gz%22	https://wbify.com/wp-content/plugins/elementor/assets/css/frontend-lite.min.css?ver=3.11.0	C:/My%20Web%20Sites/wp1/wbify.com/wp-content/plugins/elementor/assets/css/frontend-lite.minf416.css	(from https://wbify.com/)
22:52:30	15284/15284	---M-Z	200	added ('OK')	text/css	etag:%223bb4-63ebbadf-f456ca6e1cb36a2d;gz%22	https://wbify.com/wp-content/uploads/elementor/css/post-49.css?ver=1676393183	C:/My%20Web%20Sites/wp1/wbify.com/wp-content/uploads/elementor/css/post-494d07.css	(from https://wbify.com/)
22:52:31	1253/1253	---M-Z	200	added ('OK')	text/css	etag:%224e5-63a2b562-9fecc1f654e69071;gz%22	https://wbify.com/wp-content/plugins/jetwidgets-for-elementor/cherry-framework/modules/cherry-handler/assets/css/cherry-handler-styles.min.css?ver=1.5.11	C:/My%20Web%20Sites/wp1/wbify.com/wp-content/plugins/jetwidgets-for-elementor/cherry-framework/modules/cherry-handler/assets/css/cherry-handler-styles.min8c67.css	(from https://wbify.com/)
22:52:32	76896/76896	---M-Z	200	added ('OK')	text/css	etag:%2212c60-63a2b562-61524540a7ea26e3;gz%22	https://wbify.com/wp-content/plugins/jetwidgets-for-elementor/assets/css/jet-widgets.css?ver=1.0.12	C:/My%20Web%20Sites/wp1/wbify.com/wp-content/plugins/jetwidgets-for-elementor/assets/css/jet-widgets0718.css	(from https://wbify.com/)
